Year,Ticker,Weight,1Y_P,1Y_F,Industry,Sector
2010,XOM,3.04371,-7.85,22.44,Oil & Gas Integrated,Energy
2010,AAPL,2.50855,55.04,37.65,Consumer Electronics,Technology
2010,MSFT,1.80594,-2.93,6.53,Software - Infrastructure,Technology
2010,GE,1.68103,2.3,0.82,Aerospace & Defense,Industrials
2010,JNJ,1.65278,5.87,6.81,Drug Manufacturers - General,Healthcare
2010,PG,1.64616,7.21,9.61,Household & Personal Products,Consumer Defensive
2010,IBM,1.63597,15.44,35.89,Information Technology Services,Technology
2010,T,1.63451,15.65,8.71,Telecom Services,Communication Services
2010,CVX,1.57456,19.74,20.21,Oil & Gas Integrated,Energy
2010,JPM,1.46037,-11.92,-16.36,Banks - Diversified,Financial Services
2010,BRK-B,1.38603,24.04,-12.06,Insurance - Diversified,Financial Services
2010,PFE,1.33523,9.48,9.15,Drug Manufacturers - General,Healthcare
2010,KO,1.30573,12.89,21.36,Beverages - Non-Alcoholic,Consumer Defensive
2010,WFC,1.2727,-10.53,0.9,Banks - Diversified,Financial Services
2010,BAC,1.27214,-22.31,-51.35,Banks - Diversified,Financial Services
2010,GOOGL,1.26601,6.42,0.33,Internet Content & Information,Communication Services
2010,CSCO,1.20969,-7.09,-27.1,Communication Equipment,Technology
2010,MRK,1.09557,22.4,-7.19,Drug Manufacturers - General,Healthcare
2010,INTC,1.03482,1.33,19.65,Semiconductors,Technology
2010,WMT,1.03427,11.12,-0.38,Discount Stores,Consumer Defensive
2010,PEP,1.0222,17.18,-2.91,Beverages - Non-Alcoholic,Consumer Defensive
2010,ORCL,1.00501,31.48,11.2,Software - Infrastructure,Technology
2010,PM,0.99307,21.1,19.19,Tobacco,Consumer Defensive
2010,HPQ,0.92209,-9.29,-42.76,Computer Hardware,Technology
2010,C,0.89808,-19.01,-31.17,Banks - Diversified,Financial Services
2010,VZ,0.89099,22.59,20.25,Telecom Services,Communication Services
2010,COP,0.82417,32.25,16.17,Oil & Gas E&P,Energy
2010,SLB,0.81394,4.66,0.72,Oil & Gas Equipment & Services,Energy
2010,ABT,0.77991,9.66,2.89,Medical Devices,Healthcare
2010,MCD,0.767,34.81,22.79,Restaurants,Consumer Cyclical
2011,AAPL,3.43107,37.65,75.7,Consumer Electronics,Technology
2011,XOM,3.42899,22.44,29.07,Oil & Gas Integrated,Energy
2011,IBM,2.02958,35.89,20.59,Information Technology Services,Technology
2011,MSFT,1.80195,6.53,22.86,Software - Infrastructure,Technology
2011,CVX,1.80054,20.21,30.04,Oil & Gas Integrated,Energy
2011,JNJ,1.69657,6.81,12.25,Drug Manufacturers - General,Healthcare
2011,PG,1.68543,9.61,13.48,Household & Personal Products,Consumer Defensive
2011,T,1.64091,8.71,42.44,Telecom Services,Communication Services
2011,GE,1.56983,0.82,54.89,Aerospace & Defense,Industrials
2011,KO,1.5061,21.36,15.49,Beverages - Non-Alcoholic,Consumer Defensive
2011,PFE,1.33947,9.15,46.2,Drug Manufacturers - General,Healthcare
2011,GOOGL,1.25888,0.33,46.49,Internet Content & Information,Communication Services
2011,WFC,1.23743,0.9,46.77,Banks - Diversified,Financial Services
2011,BRK-B,1.21297,-12.06,24.16,Insurance - Diversified,Financial Services
2011,JPM,1.13994,-16.36,38.59,Banks - Diversified,Financial Services
2011,ORCL,1.1025,11.2,10.38,Software - Infrastructure,Technology
2011,INTC,1.08778,19.65,9.72,Semiconductors,Technology
2011,PM,1.06399,19.19,49.64,Tobacco,Consumer Defensive
